SamplePopID,PopName,Average SNP count,medianFST,medianFSTregion,MedianFSTAdjustedNeighbors,numberofNeighborswithin1000km,harmonicMean,harmonicMean_5perc,harmonicMean_95perc
217,Mamusi_Kisiluvi,590581,0.1798255,0.0701565,0.070931262,28,455.7052,314.9702,6.81E+02
218,Mamusi_Lingite,590563,0.1826595,0.0724599,0.073754291,28,397.6154,275.1337,5.97E+02
219,Mamusi_Paleabu,589104.5,0.159335,0.0521483,0.052197779,28,705.1825,534.0878,9.99E+02
220,Mandenka,594907.5,0.14614,0.05916275,NA,1,7131.0672,4407.9152,1.28E+04
221,Mangseng,590657,0.130287,0.0328423,0.033351932,28,2701.6136,1579.8877,5.75E+03
222,Mansi,596607,0.0531111,0.0473663,0.019685227,15,2051.2149,1293.9872,3.10E+03
223,Masai_Kinyawa_MKK,595631.5,0.1004355,0.05153545,0.037919554,6,NA,NA,NA
224,Maya,595895,0.119453,0.0276261,0.014762749,4,7452.1104,5291.7324,1.23E+04
225,Mbukushu,596262,0.1528665,0.0486676,0.044458119,18,5261.8606,2700.8001,1.41E+04
226,MbutiPygmy,593735,0.2068045,0.08393725,0.097195122,6,2756.0289,1636.576,6.00E+03
227,Melamela,590618,0.144605,0.0473857,0.049009257,28,868.2714,641.9397,1.24E+03
228,Mende,595497,0.1508175,0.05404045,NA,1,14900.3228,7073.8964,5.72E+04
229,Mengen,590597,0.146797,0.0388011,0.039937221,28,2378.0601,1826.1532,3.50E+03
230,Miao,596400.5,0.107238,0.0985103,0.007211615,7,3881.6139,2630.2667,6.76E+03
231,Mixe,595823.5,0.1574515,0.05436305,0.031738342,4,572.1205,390.0372,8.53E+02
232,Mixtec,596221.5,0.1314975,0.0374583,0.016653157,4,1714.6349,1248.7822,2.51E+03
233,Moldavian,588165.5,0.0503091,0.0148369,0.005790405,28,5318.2487,3150.994,1.02E+04
234,Mongol_Khalkh_Sainnoyon,587443,0.0793834,0.0684895,0.004287847,9,17251.6655,7173.7196,6.60E+04
235,Mongol_Khalkh_Zasagt,585744,0.07804495,0.0675112,0.010352271,17,20717.9633,5901.0627,4.15E+05
236,Mongol_Minorities,584625,0.07666145,0.0658979,NA,0,22372.0562,10744.9039,8.18E+04
237,Mongol_Uuld,586689.5,0.07499225,0.064413,0.008909467,20,15244.2296,7616.0611,7.13E+04
238,Mongola,595814.5,0.088663,0.0790419,0.005719041,5,29298.1784,13188.8076,1.59E+05
239,Mordovian,596442.5,0.0425546,0.0169731,0.008134313,25,10322.5277,5057.8841,2.98E+04
